ORDER	ARTIST	ALBUM	TRACK
31347	Bob Dylan	Greatest Hits, Bob Dylan	06 - Mr. Tambourine Man.flac
31347	Bob Dylan	Greatest Hits, Bob Dylan	07 - Subterranean Homesick Blues.flac
31347	Bob Dylan	Greatest Hits, Bob Dylan	08 - I Want You.flac
31347	Bob Dylan	Greatest Hits, Bob Dylan	09 - Positively Fourth Street.flac
31347	Bob Dylan	Greatest Hits, Bob Dylan	10 - Just Like A Woman.flac
31347	Bob Dylan	Highway 61 Revisited	01 - Like A Rolling Stone.flac
31347	Bob Dylan	Highway 61 Revisited	02 - Tombstone Blues.flac
31347	Bob Dylan	Highway 61 Revisited	03 - It Takes A Lot To Laugh, It Takes A Train To Cry.flac
31347	Bob Dylan	Highway 61 Revisited	04 - From A Buick 6.flac
31347	Bob Dylan	Highway 61 Revisited	05 - Ballad Of A Thin Man.flac
31347	Bob Dylan	Highway 61 Revisited	06 - Queen Jane Approximately.flac
31347	Bob Dylan	Highway 61 Revisited	07 - Highway 61 Revisited.flac
31347	Bob Dylan	Highway 61 Revisited	08 - Just Like Tom Thumb's Blues.flac
31347	Bob Dylan	Highway 61 Revisited	09 - Desolation Row.flac
31347	Bob Dylan	The Times They Are A-Changin'	01 - The Times They Are A Changin'.flac
31347	Bob Dylan	The Times They Are A-Changin'	02 - The Ballad Of Hollis Brown.flac
31347	Bob Dylan	The Times They Are A-Changin'	03 - With God On Our Side.flac
31347	Bob Dylan	The Times They Are A-Changin'	04 - One Too Many Mornings.flac
31347	Bob Dylan	The Times They Are A-Changin'	05 - North Country Blues.flac
31347	Bob Dylan	The Times They Are A-Changin'	06 - Only A Pawn In Their Game.flac
31347	Bob Dylan	The Times They Are A-Changin'	07 - Boots Of Spanish Leather.flac
31347	Bob Dylan	The Times They Are A-Changin'	08 - When The Ship Comes In.flac
31347	Bob Dylan	The Times They Are A-Changin'	09 - The Lonesome Death Of Hattie Carroll.flac
31347	Bob Dylan	The Times They Are A-Changin'	10 - Restless Farewell.flac
31347	Bob Marley & The Wailers	Legend- The Best Of Bob Marley & The Wailers	01 - Is This Love.flac
31347	Bob Marley & The Wailers	Legend- The Best Of Bob Marley & The Wailers	02 - No Woman No Cry (Live).flac
31347	Bob Marley & The Wailers	Legend- The Best Of Bob Marley & The Wailers	03 - Could You Be Loved.flac
31347	Bob Marley & The Wailers	Legend- The Best Of Bob Marley & The Wailers	04 - Three Little Birds.flac
31347	Bob Marley & The Wailers	Legend- The Best Of Bob Marley & The Wailers	05 - Buffalo Soldier.flac
31347	Bob Marley & The Wailers	Legend- The Best Of Bob Marley & The Wailers	06 - Get Up Stand Up.flac
31347	Bob Marley & The Wailers	Legend- The Best Of Bob Marley & The Wailers	07 - Stir It Up.flac
31347	Bob Marley & The Wailers	Legend- The Best Of Bob Marley & The Wailers	08 - One Love-People Get Ready.flac
31347	Bob Marley & The Wailers	Legend- The Best Of Bob Marley & The Wailers	09 - I Shot The Sheriff.flac
31347	Bob Marley & The Wailers	Legend- The Best Of Bob Marley & The Wailers	10 - Waiting In Vain.flac
31347	Bob Marley & The Wailers	Legend- The Best Of Bob Marley & The Wailers	11 - Redemption Song.flac
31347	Bob Marley & The Wailers	Legend- The Best Of Bob Marley & The Wailers	12 - Satisfy My Soul.flac
31347	Bob Marley & The Wailers	Legend- The Best Of Bob Marley & The Wailers	13 - Exodus.flac
31347	Bob Marley & The Wailers	Legend- The Best Of Bob Marley & The Wailers	14 - Jamming.flac
31347	Bob Newhart	Button Down Concert	01 - Greeting.flac
31347	Bob Newhart	Button Down Concert	02 - Bob At The Unemployment Office.flac
31347	Bob Newhart	Button Down Concert	03 - Bus Drivers School.flac
31347	Bob Newhart	Button Down Concert	04 - King Kong.flac
31347	Bob Newhart	Button Down Concert	05 - Driving Instructor.flac
31347	Bob Newhart	Button Down Concert	06 - The Grace L. Ferguson Airline (And Storm Door Co.).flac
31347	Bob Newhart	Button Down Concert	07 - Abe Lincoln Vs. Madison Avenue.flac
31347	Bob Newhart	Button Down Concert	08 - The Cruise Of The U.S.S. Codfish.flac
31347	Bob Newhart	Button Down Concert	09 - The One-Eyed Bullfighter.flac
31347	Bob Newhart	Button Down Concert	10 - Nobody Will Ever Play Baseball.flac
